time,client_ip,method,uri,status,req_time,uri_len,qparam_count,has_sqli,has_xss,req_time_f,anomaly
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.004,30,1,1,0,0.004,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.004,17,1,0,0,0.004,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,1,1,0.001,1
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,1,1,0.001,1
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,1,1,0.001,1
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,1,1,0.001,1
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.004,37,1,0,1,0.004,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.004,27,1,1,0,0.004,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.001,21,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.001,17,1,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.002,27,1,1,0,0.002,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.0,27,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.0,12,0,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.001,30,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.002,17,1,0,0,0.002,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.002,46,1,1,1,0.002,1
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.002,27,1,1,0,0.002,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.002,30,1,1,0,0.002,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.002,12,0,0,0,0.002,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/2,502,0.002,12,0,0,0,0.002,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,46,1,1,1,0.001,1
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/1,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,37,1,0,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/rest/user/3,502,0.001,12,0,0,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?search='%20OR%20'1'='1'%20--,502,0.0,30,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1'%20OR%20'1'='1,502,0.0,21,1,1,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%27%20OR%20%271%27=%271,502,0.001,27,1,1,0,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?id=1%20OR%201=1,502,0.0,17,1,0,0,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?name=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,502,0.0,46,1,1,1,0.0,0
2025-11-03T11:25:48+00:00,172.18.0.4,GET,/?q=%3Cscript%3Ealert(1)%3C/script%3E,502,0.001,37,1,0,1,0.001,0
